event_name,start_date,category,source
Black Monday Crash,1987-10-19,Economic Shock,https://www.investopedia.com/terms/b/blackmonday.asp
Gulf War – Iraq Invades Kuwait,1990-08-02,Geopolitical,https://www.eia.gov/todayinenergy/detail.php?id=7270
Asian Financial Crisis,1997-07-02,Economic Shock,https://www.imf.org/external/np/exr/ib/2000/062300.htm
NATO Bombing of Yugoslavia,1999-03-24,Geopolitical,https://www.britannica.com/event/Kosovo-conflict
9/11 Terrorist Attacks,2001-09-11,Geopolitical,https://www.eia.gov/todayinenergy/detail.php?id=4650
Iraq War Begins,2003-03-20,Geopolitical,https://www.cnbc.com/id/100000000
Hurricane Katrina,2005-08-29,Natural Disaster,https://www.eia.gov/todayinenergy/detail.php?id=3230
2008 Oil Price Peak,2008-07-03,Economic Shock,https://www.theguardian.com/business/2008/jul/03/oil.economy
2008 Global Financial Crisis,2008-09-15,Economic Shock,https://www.ft.com/content/d8e6b8b0-832a-11dd-a7d5-000077b07658
Arab Spring Begins,2010-12-17,Geopolitical,https://www.bbc.com/news/world-12482315
Libyan Civil War,2011-02-17,Geopolitical,https://www.reuters.com/article/libya-crisis-oil-idUSLDE72T2L420110330
2014–2016 Oil Price Collapse,2014-06-01,Market/OPEC,https://www.bloomberg.com/news/articles/2016-01-20/oil-prices-2014-2016
Reimposition of Iran Sanctions,2018-11-05,Sanctions,https://www.state.gov/reimposition-of-u-s-sanctions-on-the-islamic-republic-of-iran/
COVID-19 Pandemic,2020-03-11,Economic Shock,https://www.who.int/news/item/27-04-2020-who-timeline---covid-19
Russia-Ukraine War Begins,2022-02-24,Geopolitical,https://www.reuters.com/world/europe/russia-launches-invasion-ukraine-2022-02-24/
